Tick 805(804), Delay 44 ms, IGT 00:40.151, RTA 00:40.054-00:40.098
Tick 809(808), Delay 58 ms, IGT 00:40.351, RTA 00:40.250-00:40.308
Tick 810(809), Delay 42 ms, IGT 00:40.401, RTA 00:40.308-00:40.350
Tick 811(810), Delay 63 ms, IGT 00:40.451, RTA 00:40.350-00:40.413
Tick 812(811), Delay 39 ms, IGT 00:40.501, RTA 00:40.413-00:40.452
Tick 816(815), Delay 60 ms, IGT 00:40.701, RTA 00:40.601-00:40.661
Tick 817(816), Delay 40 ms, IGT 00:40.751, RTA 00:40.661-00:40.701
Tick 818(817), Delay 55 ms, IGT 00:40.801, RTA 00:40.701-00:40.756
Tick 819(818), Delay 45 ms, IGT 00:40.851, RTA 00:40.756-00:40.801
Tick 820(819), Delay 57 ms, IGT 00:40.901, RTA 00:40.801-00:40.858
Tick 824(823), Delay 55 ms, IGT 00:41.101, RTA 00:41.000-00:41.055
Tick 825(824), Delay 57 ms, IGT 00:41.151, RTA 00:41.055-00:41.112
Tick 827(826), Delay 45 ms, IGT 00:41.251, RTA 00:41.159-00:41.204
Tick 831(830), Delay 43 ms, IGT 00:41.451, RTA 00:41.357-00:41.400
Tick 839(838), Delay 56 ms, IGT 00:41.851, RTA 00:41.748-00:41.804
Tick 841(840), Delay 41 ms, IGT 00:41.951, RTA 00:41.856-00:41.897
Tick 845(844), Delay 55 ms, IGT 00:42.151, RTA 00:42.048-00:42.103
Tick 846(845), Delay 44 ms, IGT 00:42.201, RTA 00:42.103-00:42.147
Tick 849(848), Delay 59 ms, IGT 00:42.351, RTA 00:42.249-00:42.308
Tick 853(852), Delay 55 ms, IGT 00:42.551, RTA 00:42.449-00:42.504
Tick 857(856), Delay 44 ms, IGT 00:42.751, RTA 00:42.657-00:42.701
Tick 864(863), Delay 56 ms, IGT 00:43.101, RTA 00:43.000-00:43.056
Tick 865(864), Delay 44 ms, IGT 00:43.151, RTA 00:43.056-00:43.100
Tick 866(865), Delay 60 ms, IGT 00:43.201, RTA 00:43.100-00:43.160
Tick 868(867), Delay 95 ms, IGT 00:43.301, RTA 00:43.206-00:43.301
Tick 869(868), Delay 4 ms, IGT 00:43.351, RTA 00:43.301-00:43.305
