Tick 21202(21199), Delay 1 ms, IGT 17:39.949, RTA 25:37.965-25:37.966
Tick 21203(21200), Delay 0 ms, IGT 17:39.999, RTA 25:37.966-25:37.966
Tick 21204(21201), Delay 0 ms, IGT 17:40.049, RTA 25:37.966-25:37.966
Tick 21205(21202), Delay 0 ms, IGT 17:40.099, RTA 25:37.966-25:37.966
Tick 21206(21203), Delay 1 ms, IGT 17:40.149, RTA 25:37.966-25:37.967
Tick 21207(21204), Delay 12 ms, IGT 17:40.199, RTA 25:37.967-25:37.979
Tick 21226(21223), Delay 62 ms, IGT 17:41.149, RTA 25:38.880-25:38.942
Tick 21227(21224), Delay 40 ms, IGT 17:41.199, RTA 25:38.942-25:38.982
Tick 21339(21336), Delay 55 ms, IGT 17:46.799, RTA 25:44.529-25:44.584
Tick 21753(21750), Delay 57 ms, IGT 18:07.499, RTA 26:05.229-26:05.286
Tick 21754(21751), Delay 44 ms, IGT 18:07.549, RTA 26:05.286-26:05.330
Tick 21956(21953), Delay 56 ms, IGT 18:17.649, RTA 26:15.381-26:15.437
Tick 21957(21954), Delay 45 ms, IGT 18:17.699, RTA 26:15.437-26:15.482
Tick 21973(21970), Delay 44 ms, IGT 18:18.499, RTA 26:16.235-26:16.279
Tick 22072(22069), Delay 57 ms, IGT 18:23.449, RTA 26:21.181-26:21.238
Tick 22078(22075), Delay 45 ms, IGT 18:23.749, RTA 26:21.486-26:21.531
Tick 22114(22111), Delay 57 ms, IGT 18:25.549, RTA 26:23.280-26:23.337
Tick 22121(22118), Delay 55 ms, IGT 18:25.899, RTA 26:23.633-26:23.688
Tick 22124(22121), Delay 57 ms, IGT 18:26.049, RTA 26:23.781-26:23.838
Tick 22125(22122), Delay 45 ms, IGT 18:26.099, RTA 26:23.838-26:23.883
Tick 22129(22126), Delay 44 ms, IGT 18:26.299, RTA 26:24.037-26:24.081
Tick 22146(22143), Delay 66 ms, IGT 18:27.149, RTA 26:24.883-26:24.949
Tick 22148(22145), Delay 56 ms, IGT 18:27.249, RTA 26:24.998-26:25.054
Tick 22149(22146), Delay 30 ms, IGT 18:27.299, RTA 26:25.054-26:25.084
Tick 22150(22147), Delay 62 ms, IGT 18:27.349, RTA 26:25.084-26:25.146
Tick 22151(22148), Delay 39 ms, IGT 18:27.399, RTA 26:25.146-26:25.185
Tick 22161(22158), Delay 56 ms, IGT 18:27.899, RTA 26:25.631-26:25.687
Tick 22183(22180), Delay 55 ms, IGT 18:28.999, RTA 26:26.729-26:26.784
Tick 22205(22202), Delay 45 ms, IGT 18:30.099, RTA 26:27.835-26:27.880
Tick 22229(22226), Delay 44 ms, IGT 18:31.299, RTA 26:29.035-26:29.079
Tick 22653(22650), Delay 55 ms, IGT 18:52.499, RTA 26:50.232-26:50.287
Tick 22654(22651), Delay 44 ms, IGT 18:52.549, RTA 26:50.287-26:50.331
Tick 22716(22713), Delay 56 ms, IGT 18:55.649, RTA 26:53.380-26:53.436
Tick 22718(22715), Delay 45 ms, IGT 18:55.749, RTA 26:53.486-26:53.531
Tick 22896(22893), Delay 45 ms, IGT 19:04.649, RTA 27:02.385-27:02.430
Tick 22915(22912), Delay 58 ms, IGT 19:05.599, RTA 27:03.334-27:03.392
Tick 22916(22913), Delay 42 ms, IGT 19:05.649, RTA 27:03.392-27:03.434
Tick 22925(22922), Delay 57 ms, IGT 19:06.099, RTA 27:03.830-27:03.887
Tick 22926(22923), Delay 44 ms, IGT 19:06.149, RTA 27:03.887-27:03.931
Tick 22966(22963), Delay 44 ms, IGT 19:08.149, RTA 27:05.886-27:05.930
Tick 23012(23009), Delay 55 ms, IGT 19:10.449, RTA 27:08.180-27:08.235
Tick 23020(23017), Delay 57 ms, IGT 19:10.849, RTA 27:08.580-27:08.637
Tick 23021(23018), Delay 44 ms, IGT 19:10.899, RTA 27:08.637-27:08.681
Tick 23022(23019), Delay 58 ms, IGT 19:10.949, RTA 27:08.681-27:08.739
Tick 23023(23020), Delay 45 ms, IGT 19:10.999, RTA 27:08.739-27:08.784
Tick 23035(23032), Delay 45 ms, IGT 19:11.599, RTA 27:09.336-27:09.381
Tick 23051(23048), Delay 45 ms, IGT 19:12.399, RTA 27:10.135-27:10.180
Tick 23106(23103), Delay 55 ms, IGT 19:15.149, RTA 27:12.880-27:12.935
Tick 23107(23104), Delay 45 ms, IGT 19:15.199, RTA 27:12.935-27:12.980
Tick 23114(23111), Delay 55 ms, IGT 19:15.549, RTA 27:13.280-27:13.335
Tick 23199(23196), Delay 56 ms, IGT 19:19.799, RTA 27:17.529-27:17.585
Tick 23200(23197), Delay 45 ms, IGT 19:19.849, RTA 27:17.585-27:17.630
Tick 23225(23222), Delay 45 ms, IGT 19:21.099, RTA 27:18.834-27:18.879
Tick 23449(23446), Delay 45 ms, IGT 19:32.299, RTA 27:30.034-27:30.079
Tick 23473(23470), Delay 55 ms, IGT 19:33.499, RTA 27:31.230-27:31.285
Tick 23474(23471), Delay 45 ms, IGT 19:33.549, RTA 27:31.285-27:31.330
Tick 23646(23643), Delay 56 ms, IGT 19:42.149, RTA 27:39.880-27:39.936
Tick 23647(23644), Delay 44 ms, IGT 19:42.199, RTA 27:39.936-27:39.980
