Tick 448(447), Delay 40 ms, IGT 00:22.302, RTA 00:22.229-00:22.269
Tick 452(451), Delay 38 ms, IGT 00:22.502, RTA 00:22.423-00:22.461
Tick 454(453), Delay 45 ms, IGT 00:22.602, RTA 00:22.515-00:22.560
Tick 456(455), Delay 63 ms, IGT 00:22.702, RTA 00:22.611-00:22.674
Tick 458(457), Delay 58 ms, IGT 00:22.802, RTA 00:22.720-00:22.778
Tick 459(458), Delay 42 ms, IGT 00:22.852, RTA 00:22.778-00:22.820
Tick 461(460), Delay 41 ms, IGT 00:22.952, RTA 00:22.874-00:22.915
Tick 464(463), Delay 62 ms, IGT 00:23.102, RTA 00:23.011-00:23.073
Tick 465(464), Delay 45 ms, IGT 00:23.152, RTA 00:23.073-00:23.118
Tick 467(466), Delay 58 ms, IGT 00:23.252, RTA 00:23.168-00:23.226
Tick 468(467), Delay 45 ms, IGT 00:23.302, RTA 00:23.226-00:23.271
Tick 469(468), Delay 65 ms, IGT 00:23.352, RTA 00:23.271-00:23.336
Tick 470(469), Delay 32 ms, IGT 00:23.402, RTA 00:23.336-00:23.368
Tick 473(472), Delay 41 ms, IGT 00:23.552, RTA 00:23.471-00:23.512
Tick 474(473), Delay 64 ms, IGT 00:23.602, RTA 00:23.512-00:23.576
Tick 475(474), Delay 39 ms, IGT 00:23.652, RTA 00:23.576-00:23.615
Tick 477(476), Delay 73 ms, IGT 00:23.752, RTA 00:23.662-00:23.735
Tick 478(477), Delay 32 ms, IGT 00:23.802, RTA 00:23.735-00:23.767
Tick 481(480), Delay 43 ms, IGT 00:23.952, RTA 00:23.874-00:23.917
Tick 483(482), Delay 56 ms, IGT 00:24.052, RTA 00:23.965-00:24.021
Tick 485(484), Delay 41 ms, IGT 00:24.152, RTA 00:24.071-00:24.112
Tick 486(485), Delay 59 ms, IGT 00:24.202, RTA 00:24.112-00:24.171
Tick 487(486), Delay 57 ms, IGT 00:24.252, RTA 00:24.171-00:24.228
Tick 488(487), Delay 38 ms, IGT 00:24.302, RTA 00:24.228-00:24.266
Tick 489(488), Delay 45 ms, IGT 00:24.352, RTA 00:24.266-00:24.311
Tick 490(489), Delay 63 ms, IGT 00:24.402, RTA 00:24.311-00:24.374
Tick 491(490), Delay 59 ms, IGT 00:24.452, RTA 00:24.374-00:24.433
Tick 492(491), Delay 27 ms, IGT 00:24.502, RTA 00:24.433-00:24.460
Tick 493(492), Delay 61 ms, IGT 00:24.552, RTA 00:24.460-00:24.521
Tick 494(493), Delay 55 ms, IGT 00:24.602, RTA 00:24.521-00:24.576
Tick 495(494), Delay 36 ms, IGT 00:24.652, RTA 00:24.576-00:24.612
Tick 496(495), Delay 61 ms, IGT 00:24.702, RTA 00:24.612-00:24.673
Tick 497(496), Delay 37 ms, IGT 00:24.752, RTA 00:24.673-00:24.710
Tick 499(498), Delay 57 ms, IGT 00:24.852, RTA 00:24.761-00:24.818
Tick 501(500), Delay 55 ms, IGT 00:24.952, RTA 00:24.864-00:24.919
Tick 507(506), Delay 55 ms, IGT 00:25.252, RTA 00:25.170-00:25.225
Tick 508(507), Delay 45 ms, IGT 00:25.302, RTA 00:25.225-00:25.270
Tick 512(511), Delay 41 ms, IGT 00:25.502, RTA 00:25.423-00:25.464
Tick 515(514), Delay 62 ms, IGT 00:25.652, RTA 00:25.567-00:25.629
Tick 516(515), Delay 43 ms, IGT 00:25.702, RTA 00:25.629-00:25.672
Tick 519(518), Delay 43 ms, IGT 00:25.852, RTA 00:25.771-00:25.814
Tick 520(519), Delay 55 ms, IGT 00:25.902, RTA 00:25.814-00:25.869
Tick 521(520), Delay 56 ms, IGT 00:25.952, RTA 00:25.869-00:25.925
Tick 523(522), Delay 61 ms, IGT 00:26.052, RTA 00:25.971-00:26.032
Tick 526(525), Delay 39 ms, IGT 00:26.202, RTA 00:26.131-00:26.170
Tick 527(526), Delay 55 ms, IGT 00:26.252, RTA 00:26.170-00:26.225
Tick 528(527), Delay 36 ms, IGT 00:26.302, RTA 00:26.225-00:26.261
Tick 529(528), Delay 60 ms, IGT 00:26.352, RTA 00:26.261-00:26.321
Tick 530(529), Delay 55 ms, IGT 00:26.402, RTA 00:26.321-00:26.376
Tick 535(534), Delay 55 ms, IGT 00:26.652, RTA 00:26.569-00:26.624
Tick 536(535), Delay 41 ms, IGT 00:26.702, RTA 00:26.624-00:26.665
Tick 537(536), Delay 66 ms, IGT 00:26.752, RTA 00:26.665-00:26.731
Tick 538(537), Delay 29 ms, IGT 00:26.802, RTA 00:26.731-00:26.760
Tick 539(538), Delay 62 ms, IGT 00:26.852, RTA 00:26.760-00:26.822
Tick 543(542), Delay 61 ms, IGT 00:27.052, RTA 00:26.962-00:27.023
Tick 547(546), Delay 43 ms, IGT 00:27.252, RTA 00:27.175-00:27.218
Tick 555(554), Delay 45 ms, IGT 00:27.652, RTA 00:27.568-00:27.613
Tick 556(555), Delay 58 ms, IGT 00:27.702, RTA 00:27.613-00:27.671
Tick 559(558), Delay 57 ms, IGT 00:27.852, RTA 00:27.771-00:27.828
Tick 560(559), Delay 43 ms, IGT 00:27.902, RTA 00:27.828-00:27.871
Tick 561(560), Delay 44 ms, IGT 00:27.952, RTA 00:27.871-00:27.915
Tick 562(561), Delay 58 ms, IGT 00:28.002, RTA 00:27.915-00:27.973
Tick 564(563), Delay 44 ms, IGT 00:28.102, RTA 00:28.021-00:28.065
Tick 565(564), Delay 55 ms, IGT 00:28.152, RTA 00:28.065-00:28.120
Tick 567(566), Delay 69 ms, IGT 00:28.252, RTA 00:28.166-00:28.235
Tick 568(567), Delay 34 ms, IGT 00:28.302, RTA 00:28.235-00:28.269
Tick 572(571), Delay 37 ms, IGT 00:28.502, RTA 00:28.424-00:28.461
Tick 573(572), Delay 65 ms, IGT 00:28.552, RTA 00:28.461-00:28.526
Tick 575(574), Delay 45 ms, IGT 00:28.652, RTA 00:28.572-00:28.617
Tick 577(576), Delay 59 ms, IGT 00:28.752, RTA 00:28.669-00:28.728
Tick 578(577), Delay 44 ms, IGT 00:28.802, RTA 00:28.728-00:28.772
Tick 579(578), Delay 40 ms, IGT 00:28.852, RTA 00:28.772-00:28.812
Tick 580(579), Delay 62 ms, IGT 00:28.902, RTA 00:28.812-00:28.874
Tick 584(583), Delay 36 ms, IGT 00:29.102, RTA 00:29.027-00:29.063
